tempo,referencia,velocidade,pwm,erro
1.1,0,0.00366789,-0.0733577,-0.00366789
1.11,0,0.0039011,-0.0780219,-0.0039011
1.12,0,-0.00138901,0.0277803,0.00138901
1.13,0,0.00174989,-0.0349978,-0.00174989
1.14,0,0.0051749,-0.103498,-0.0051749
1.15,0,0.00375741,-0.0751482,-0.00375741
1.16,0,0.00488167,-0.0976334,-0.00488167
1.17,0,0.0082935,-0.16587,-0.0082935
1.18,0,0.00686415,-0.137283,-0.00686415
1.19,0,0.00307774,-0.0615547,-0.00307774
1.2,0,0.00176996,-0.0353992,-0.00176996
1.21,0,-0.000507035,0.0101407,0.000507035
1.22,0,-0.00235633,0.0471266,0.00235633
1.23,0,-0.0054207,0.108414,0.0054207
1.24,0,-0.000178628,0.00357256,0.000178628
1.25,0,0.00193923,-0.0387847,-0.00193923
1.26,0,0.00484531,-0.0969062,-0.00484531
1.27,0,0.00686078,-0.137216,-0.00686078
1.28,0,0.0020747,-0.041494,-0.0020747
1.29,0,-0.000432768,0.00865536,0.000432768
1.3,0,0.00131051,-0.0262102,-0.00131051
1.31,0,0.00177946,-0.0355892,-0.00177946
1.32,0,0.00630151,-0.12603,-0.00630151
1.33,0,0.00597136,-0.119427,-0.00597136
1.34,0,0.00897423,-0.179485,-0.00897423
1.35,0,0.0095768,-0.191536,-0.0095768
1.36,0,0.00421912,-0.0843824,-0.00421912
1.37,0,0.00709721,-0.141944,-0.00709721
1.38,0,0.00328749,-0.0657498,-0.00328749
1.39,0,0.000358739,-0.00717478,-0.000358739
1.4,0,-0.00187713,0.0375427,0.00187713
1.41,0,0.000410579,-0.00821158,-0.000410579
1.42,0,-0.00143048,0.0286096,0.00143048
1.43,0,-0.00338743,0.0677486,0.00338743
1.44,0,-0.00774869,0.154974,0.00774869
1.45,0,-0.0100738,0.201476,0.0100738
1.46,0,-0.00706644,0.141329,0.00706644
1.47,0,-0.00455979,0.0911959,0.00455979
1.48,0,-0.00830381,0.166076,0.00830381
1.49,0,-0.0109734,0.219469,0.0109734
1.5,0,-0.0108761,0.217522,0.0108761
1.51,0,-0.00988848,0.19777,0.00988848
1.52,0,-0.00429963,0.0859926,0.00429963
1.53,0,-0.00656967,0.131393,0.00656967
1.54,0,-0.0091127,0.182254,0.0091127
1.55,0,-0.00870143,0.174029,0.00870143
1.56,0,-0.00823129,0.164626,0.00823129
1.57,0,-0.00730816,0.146163,0.00730816
1.58,0,-0.00947734,0.189547,0.00947734
1.59,0,-0.00802961,0.160592,0.00802961
1.6,0,-0.00432665,0.0865329,0.00432665
1.61,0,-9.39826e-05,0.00187965,9.39826e-05
1.62,0,0.00131542,-0.0263083,-0.00131542
1.63,0,-0.00101613,0.0203225,0.00101613
1.64,0,-0.00181451,0.0362903,0.00181451
1.65,0,-0.00163306,0.0326612,0.00163306
1.66,0,0.00283024,-0.0566049,-0.00283024
1.67,0,-0.00245278,0.0490556,0.00245278
1.68,0,-0.0038075,0.07615,0.0038075
1.69,0,-0.00202675,0.040535,0.00202675
1.7,0,-0.00442408,0.0884815,0.00442408
1.71,0,-0.00758167,0.151633,0.00758167
1.72,0,-0.0031235,0.06247,0.0031235
1.73,0,-0.00221115,0.044223,0.00221115
1.74,0,-0.00269004,0.0538007,0.00269004
1.75,0,0.00167897,-0.0335793,-0.00167897
1.76,0,-0.00078893,0.0157786,0.00078893
1.77,0,0.000789963,-0.0157993,-0.000789963
1.78,0,0.00161097,-0.0322193,-0.00161097
1.79,0,4.98696e-05,-0.000997393,-4.98696e-05
1.8,0,-0.00175512,0.0351023,0.00175512
1.81,0,-0.00147961,0.0295921,0.00147961
1.82,0,-0.00263165,0.0526329,0.00263165
1.83,0,-0.00456848,0.0913696,0.00456848
1.84,0,-0.00161163,0.0322326,0.00161163
1.85,0,-0.00575047,0.115009,0.00575047
1.86,0,-0.00277542,0.0555084,0.00277542
1.87,0,-0.00539788,0.107958,0.00539788
1.88,0,-0.00405809,0.0811619,0.00405809
1.89,0,0.000847716,-0.0169543,-0.000847716
1.9,0,-0.00133706,0.0267411,0.00133706
1.91,0,-0.00250335,0.050067,0.00250335
1.92,0,-0.00375301,0.0750603,0.00375301
1.93,0,0.000922287,-0.0184457,-0.000922287
1.94,0,-0.00236994,0.0473988,0.00236994
1.95,0,-0.00433295,0.086659,0.00433295
1.96,0,-0.00459965,0.0919931,0.00459965
1.97,0,-0.00803969,0.160794,0.00803969
1.98,0,-0.00943572,0.188714,0.00943572
1.99,0,-0.0105921,0.211843,0.0105921
2,0,-0.00693293,0.138659,0.00693293
2.01,1,-0.0108396,20.2168,1.01084
2.02,1,-0.0104557,20.2091,1.01046
2.03,1,-0.00811011,20.1622,1.00811
2.04,1,-0.0109991,20.22,1.011
2.05,1,-0.0110992,20.222,1.0111
2.06,1,-0.0143893,20.2878,1.01439
2.07,1,-0.0139503,20.279,1.01395
2.08,1,-0.0171553,20.3431,1.01716
2.09,1,-0.0186398,20.3728,1.01864
2.1,1,-0.0189758,20.3795,1.01898
2.11,1,-0.0132782,20.2656,1.01328
